序号	利福平	异烟肼	左氧氟沙星	莫西沙星	贝达喹啉	利奈唑胺	氯法齐明	环丝氨酸	卷曲霉素	推荐方案	备注
1	S	S	-	-	-	-	-	-	-	2个月 异烟肼、利福平、吡嗪酰胺、乙胺丁醇后4个月异烟肼 利福平(2HRZE/4HR)	①第2个月末痰菌仍阳性，要开展药物敏感性检测，耐药者按药敏检测结果进行方案调整，敏感者则延长1个月的强化期，继续期治疗方案不变,第3个月末增加一次查痰。②第5个月末或疗程结束时痰菌阳性为治疗失败。③儿童要严格按照体重用药,无判断能力者(5岁以下)慎用乙胺丁醇。(结核性胸膜炎，重症肺结核或肺外结核请按照规范延长强化期治疗)
2	S	R	S	-	-	-	-	-	-	6-9个月利福平 吡嗪酰胺 乙胺丁醇 左氧氟沙星(6-9RZELfx)	①已知或怀疑左氧氟沙星(Lfx)耐药的患者，方案为6-9RZE,不建议加用二线注射剂。②孕妇禁用，哺乳期妇女停止哺乳后方可使用。③排除Q-T间期延长的患者。
3	S	R	R	-	-	-	-	-	-	6-9个月利福平 吡嗪酰胺 乙胺丁醇(6-9RZE)
4	R	-	S	S	S	S	S	S	R	短程治疗方案4-6个月贝达喹啉、左氧氟沙星、高浓度异烟肼、吡嗪酰胺、乙胺丁醇、丙硫异烟胺、氯法齐明（BDQ Lfx Hh PZA EMB Pto Cfz /5 Lfx  PZA EMB Cfz）；长疗程治疗方案服用六个月左氧氟沙星（莫西沙星）、贝达喹啉、利奈唑胺、环丝氨酸、卷曲霉素后继续使用12个月左氧氟沙星（莫西沙星）、利奈唑胺、环丝氨酸和氯法齐明（6Lfx（Mfx）Bdq Lzd Cs Cfz /12Lfx（Mfx）Lzd Cs Cfz）	如本院未采购贝达喹啉和利奈唑胺，则应使用左氧氟沙星（莫西沙星）、卷曲霉素和环丝氨酸，同时增加C组药物，并避免使用二线注射剂
5	R	-	S	S	S	S	S	S	S	短程治疗方案4-6个月贝达喹啉、左氧氟沙星、高浓度异烟肼、吡嗪酰胺、乙胺丁醇、丙硫异烟胺、氯法齐明(4-6BDQ Lfx Hh PZA EMB Pto Cfz /5 Lfx  PZA EMB Cfz)；长疗程治疗方案首先使用6个月的左氧氟沙星（莫西沙星）、贝达喹啉、利奈唑胺、环丝氨酸和氯法齐明后服用12个月左氧氟沙星（莫西沙星）、利奈唑胺、环丝氨酸、氯法齐明（6Lfx（Mfx）Bdq Lzd Cs Cfz /12Lfx（Mfx）Lzd Cs Cfz）	如本院未采购贝达喹啉和利奈唑胺，可选择六个月左氧氟沙星（莫西沙星）、卷曲霉素、环丝氨酸 、阿米卡星（卷曲霉素）Z(E，Pto) / 14Lfx（Mfx）Cfz Cs Z(E，Pto)进行治疗
6	R	-	-	R	S	S	S	S	-	使用6个月贝达喹啉利奈唑胺、氯法齐明、环丝氨酸后使用14个月利奈唑胺、氯法齐明、环丝氨酸(6 BdqLzd Cfz Cs/14 Lzd Cfz Cs)
7	R	-	-	S	-	-	S	-	S	使用6个月贝达喹啉利奈唑胺、氯法齐明、环丝氨酸后使用14个月利奈唑胺、氯法齐明、环丝氨酸(6 BdqLzd Cfz Cs/14 Lzd Cfz Cs)
